Scenario ID;Case ID;Test Scenario;Type;Test Case;Pre Condition;Steps Description;Feedback;;
TS.016;TC.016.001;Pengujian Performance;Positif;Load halaman dengan banyak data produk;Login sebagai Manajer;1. Akses halaman produk dengan 500+ items;Performance sistem cukup baik untuk data dalam jumlah normal, loading time masih acceptable;;
;;;;;;2. Verifikasi loading time;;;
;;;;;;3. Test scroll dan pagination;;;
TS.017;TC.017.001;Pengujian Data Integrity;Positif;Konsistensi stok setelah transaksi dan retur;Login sebagai Pegawai dan Manajer;1. Catat stok awal produk;Integritas data terjaga dengan baik, stok selalu akurat setelah transaksi dan retur;;
;;;;;;2. Proses transaksi;;;
;;;;;;3. Proses retur;;;
;;;;;;4. Verifikasi konsistensi stok;;;
TS.018;TC.018.001;Pengujian User Experience;Positif;Workflow lengkap dari login hingga logout;Akses sistem sebagai user baru;1. Login pertama kali;Overall user experience sangat baik, workflow intuitif dan sesuai dengan kebutuhan bisnis retail pakaian muslim;;
;;;;;;2. Eksplorasi semua fitur;;;
;;;;;;3. Lakukan aktivitas normal;;;
;;;;;;4. Logout dari sistem;;;
